PO no.,PI no.,Order Date,Receiving CKD Date,Finishing Date,Shipping Date,LEAD TIME TO FINISH,LEAD TIME TO SHIP,LEAD TIME FROM CKD,Generator Serial no.,Canopy Size,"Freq
50? 60?",Voltage,Genset Size,"Engine
Type",Engine Model,Engine Serial no.,Alternator Type,Alternator Model,Alternator S/No.,Controller Model,Controller S/No.
P04019,09453 R2,06/10/2025,10/20/2025,10/22/2025,10/23/2025,16,17,3,25430011,250 SS,60,220/380,(250 / 275) kVA,CUMMINS,6LTAA8.9G2,93478027,LEROY SOMER,TAL046D,46313300004,DSE 8610 MKII,11045968
P04019,09453 R2,06/10/2025,10/20/2025,10/22/2025,10/23/2025,16,17,3,25430012,250 SS,60,220/380,(250 / 275) kVA,CUMMINS,6LTAA8.9G2,93480881,LEROY SOMER,TAL046D,46142000007,DSE 8610 MKII,11045930
P04019,09453 R2,06/10/2025,10/20/2025,10/22/2025,10/23/2025,16,17,3,25430013,250 SS,60,220/380,(250 / 275) kVA,CUMMINS,6LTAA8.9G2,93478016,LEROY SOMER,TAL046D,46142000001,DSE 8610 MKII,11045919
P04051,10219,09/10/2025,10/20/2025,10/24/2025,10/24/2025,15,15,5,25430014,45-60,60,230/400,(63 / 69) KVA,BAUDOUIN,4M06G10D0/S,5624J012892,STAMFORD,S1L2-Y1,G25A032459,COMAP INTELIGEN 200,2209032A
P04051,10219,09/10/2025,10/20/2025,10/24/2025,10/24/2025,15,15,5,25430015,45-60,60,230/400,(63 / 69) KVA,BAUDOUIN,4M06G10D0/S,5624J012895,STAMFORD,S1L2-Y1,G25A032452,COMAP INTELIGEN 200,2025007D
P04066,10090,10/10/2025,10/21/2025,,,,,,25430016,20,60,220/380,(24 / 27) kVA,PERKINS,404D-22G1,GN83537U094275L,LEROY SOMER,TAL040F,46083700008,DSE 4520 MKII,11032511
P04158,10507,10/21/2025,10/21/2025,,,,,,25430017,45-60,50,230/400,(60 / 66) kVA,PERKINS,1103A-33TG2,DK32000U639820L,LEROY SOMER,TAL042H,39990500019,DSE 4520 MKII,11032480
P04063,10278,10/10/2025,10/20/2025,,,,,,25430018,80-100,60,220/380,(68 / 75) kVA,CUMMINS,4BTA3.9G2,93506308,LEROY SOMER,TAL042H,46238800015,DSE 4520 MKII,11032546
P04102,10298 R1,15/10/2025,10/20/2025,10/23/2025,10/23/2025,8,8,4,R25430019,20,50,230/400,(24 / 27) kVA,PERKINS,404A-22G1,GV83540U097737L,AQT,A0/K910023,0234174/022,DSE 4520 MKII,10524641
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430020,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U094902L,LEROY SOMER,TAL040F,45682800141,DSE 4520 MKII,11032526
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430021,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U095378L,LEROY SOMER,TAL040F,45682800022,DSE 4520 MKII,11032469
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430022,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U094336L,LEROY SOMER,TAL040F,45682800231,DSE 4520 MKII,11032881
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430023,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U094852L,LEROY SOMER,TAL040F,45682800229,DSE 4520 MKII,11032541
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430024,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U094276L,LEROY SOMER,TAL040F,45682800230,DSE 4520 MKII,11032516
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430025,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U094274L,LEROY SOMER,TAL040F,45682800234,DSE 4520 MKII,11032483
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430026,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U094855L,LEROY SOMER,TAL040F,45682800143,DSE 4520 MKII,11032468
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430027,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U094793L,LEROY SOMER,TAL040F,45682800024,DSE 4520 MKII,11032479
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430028,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U094340L,LEROY SOMER,TAL040F,45682800144,DSE 4520 MKII,11032556
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430029,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U094268L,LEROY SOMER,TAL040F,45682800142,DSE 4520 MKII,11032485
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430030,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U094214L,LEROY SOMER,TAL040F,45682800139,DSE 4520 MKII,11032521
P04109,10310,15/10/2025,10/23/2025,10/25/2025,10/25/2025,10,10,3,25430031,9-20 High Tank,60,220/380,(24.2 / 26.6) kVA,PERKINS,404D-22G1,GN83537U094272L,LEROY SOMER,TAL040F,45682800140,DSE 4520 MKII,11032536
P04103,10369,15/10/2025,10/23/2025,10/25/2025,10/28/2025,10,13,3,25430032,80-100,60,230/400,(90 / 100) kVA,PERKINS,1104A-44TG2,RS51277R062169L,AQT,A06I639409,0213221/101,DSE 4520 MKII,11032484
P04064,10168,10/10/2025,10/23/2025,10/25/2025,10/25/2025,15,15,3,25430033,300,60,220/380,(225 / 250) kVA,PERKINS,1206A-E70TTAG1,BP84126U009506K,LEROY SOMER,TAL046D,46085000003,DSE 6120 MKIII,10851524
P04085,10241,13/10/2025,10/23/2025,10/25/2025,10/25/2025,12,12,3,25430034,135-150,60,110/220,(152 / 169) kVA,PERKINS,1106A-70TAG1,PP82576U097428L,STAMFORD,UCI274E1,N25F265604,DSE 4520 MKII,10952698
P03672,6204,03/09/2025,,10/28/2025,10/29/2025,55,56,,25430035,350-500,60,220/380,(569 / 625) kVA,CUMMINS,KTA19G4,25505536,LEROY SOMER,TAL0473C,46415600004,DSE 7310 MKII,10638240
P03672,6204,03/09/2025,,10/28/2025,10/29/2025,55,56,,25430036,350-500,60,220/380,(569 / 625) kVA,CUMMINS,KTA19G4,25505422,LEROY SOMER,TAL0473C,46415600005,DSE 7310 MKII,10638236
P04119,10415,17/10/2025,10/23/2025,10/29/2025,10/29/2025,12,12,7,25430037,135-150,60,220/380,(114 / 125) kVA,BAUDOUIN,4M10G6D0/S,5724K008415,LEROY SOMER,TALA44E,855586005,DSE 4520 MKII,11032474
P04119,10415,17/10/2025,10/23/2025,10/29/2025,10/29/2025,12,12,7,25430038,300,60,220/380,(225 / 250) kVA,BAUDOUIN,6M16G2D0/S,4924J005415,LEROY SOMER,TAL046D,46141800008,DSE 6120 MKIII,10938561
P04064,10168,10/10/2025,10/23/2025,10/25/2025,10/25/2025,15,15,3,25430039,30 High Tank,60,220/380,(35 / 38.2) kVA,PERKINS,1103A-33G,DJ32003U639430L,LEROY SOMER,TAL042C,40146500006,DSE 4520 MKII,10891953
P04130,10405,18/10/2025,10/23/2025,10/25/2025,10/28/2025,7,10,3,25430040,180-200,60,220/380,(152 / 169) kVA,CUMMINS,6BTAA5.9G2,84564401,BRUSHLESS AC SYNCHRO. ALTERNATOR,LYG274D,2520041,DSE 6120 MKIII,10854007
P04060,9964,09/10/2025,,10/25/2025,10/25/2025,16,16,,25430041,20,60,220/380,(10.7 / 12.1) kVA,PERKINS,403A-11G1,GT51789U099554L,AQT,A06I640275,0213170/012,DSE 4520 MKII,11032886
P04060,9964,09/10/2025,,10/25/2025,10/25/2025,16,16,,25430042,20,60,220/380,(10.7 / 12.1) kVA,PERKINS,403A-11G1,GT51789U099553L,AQT,A06I640275,0213169/012,DSE 4520 MKII,11032887
P04130,10405,18/10/2025,10/23/2025,10/25/2025,10/28/2025,7,10,3,25440001,180-200,60,220/380,(152 / 169) kVA,CUMMINS,6BTAA5.9G2,84564592,BRUSHLESS AC SYNCHRO. ALTERNATOR,LYG274D,2520042,DSE 6120 MKIII,10554670
P04119,10415,17/10/2025,10/29/2025,10/29/2025,10/29/2025,12,12,1,25440002,Tower Light,60,220/380,(15 / 17) kVA,KUBOTA,V1505-E2-BG,1RJ8803,BRUSHLESS AC SYNCHRO. ALTERNATOR,S164G108B3,18110010.8KS009,DSE 4520 MKII,10922552
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
,,,,,,0,0,1,,,,,,,,,,,,,
